Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
158,13639453.66,2671976.528,10904.27475,139181198.7,117735155.4,40960439.98
159,21559053.66,8500510.152,153270.3171,135019504,75013494.98,39407586.92
160,78854.37585,18209436.28,61717.44858,73636238.56,82391572.75,41608965.62
162,773221.3026,342065.5331,6371.255236,4397720.062,166525.9011,37165395.6
163,858148.3097,186974.0371,2972.829538,4287535.838,133192.6923,37598402.97
164,1381937.202,355463.0654,8717.418212,11823079.7,1927190.595,39657227.38
165,1348031.415,357951.6493,9188.693762,9381673.875,170267.0741,36558879.98
166,322381.146,92844.49586,6802.250062,3653531.186,114100.451,37431734.64
167,208806.6068,102523.5368,2694.916155,5219293.396,478048.5435,39784734.17
168,193154.014,110880.2815,4542.380588,6074809.241,1023153.014,38167261.92
169,951208.8569,186307.8336,133935.5355,4119729.744,420603.7074,41746215.2
170,714350.0503,157479.6998,NF,4006765.682,170945.8343,35775798.11
172,19386511.05,1925261.148,34960.10479,30302545.77,48167794.8,39088474.1
173,60488696.64,2537522.057,4478.026531,45083072.48,44432857.81,41181177.02
174,6359172.88,1995684.47,59748.29826,20977110.83,40396309.85,38575935.37
175,297748.5854,421831.1472,5413.886247,60791015.44,60132885,39528521.11
176,10284173.11,854059.4229,49920.64087,67833903.18,63767246.73,39393643.64
177,19685292.97,1234770.325,7407.391115,43882500.55,52079607.99,42304923.54
178,13389142.28,545737.5591,59917.50574,33737545.16,37665404.84,42406731.81
179,39064852.87,1521535.936,23295.24639,59200037.76,75515377.86,41512900.27
180,9187526.703,1857933.498,40597.82294,30165351.97,48863602.74,40763961.17
181,573849.964,396795.4223,377937.9645,15392261.87,3452473.452,34290593.53
182,36041.22099,450157.9879,335003.3218,9865592.689,2069651.305,34824409.23
183,1383718.806,661647.477,300092.4761,15316217.77,839921.0948,39704895.69
184,179071425.4,22485582.89,6873.232611,20004744.74,3174020.46,41317871.63
185,2813247.813,1359028.324,6516.296836,24546912.6,2243491.939,39720728.02
186,3326590.48,1432636.291,7091.109185,22704248.52,820398.5232,38196120.92
187,297367.7584,166727.8062,304972.828,16189114.7,385895.0459,38506903.83
188,16196.1769,382365.1055,4352.405157,8445282.517,833984.0381,36181841.07
189,76850.00248,911817.3459,19906.39578,17055068.14,2658310.425,38336972.55
190,16511.98026,4607196.653,7695.878598,31377727.91,3667074.905,37980202.71
191,719003.7538,3419842.719,22665.79406,157435524.4,98343405.96,38072358.03
192,117759.7075,5074096.19,242522.2079,154032529.1,102495696.2,38988470.04
193,188291115.9,15677932.04,9935.931403,87032413.04,67263285.45,40862737.88
194,94231440.92,9688517.698,72337.51059,65320735.67,70495416.9,39790860.41
195,20608328.76,3444351.406,8657.579374,78829363.3,68911264.09,34707697.99
196,18438653.62,5661706.369,109111.1394,63123844.04,47466482.56,35067033.12
197,81901656.92,5908537.181,167371.8932,62825256.82,56318099.85,35214498.75
198,255748645.1,15521101.24,62995.91824,62876679.15,69317445.59,38259056.85
199,43899400.41,6199100.882,19112.03343,83624277.51,46332065.92,36754606.3
200,629568427.6,22753995.39,68171.18177,79314672.97,48566396.83,38142284.03
201,1138370.019,146401.5472,16702.85018,2851248.803,160185.129,34125023.07
202,957234.6921,87144.07077,9599.059667,672357.8814,86803.00133,32463506.38
203,429783.7962,98730.75072,146124.5759,2962366.291,110620.3456,32355595.84
